Benchmark Program,Mutant,is Functionally different,Explaination,Usage
Problem1,v7/Problem1.c,Yes,The mutated code has a functional difference in `calculate_outputm3` where `(input == 4)` is changed to `(input == 8)` on line 3,"CompletionUsage(completion_tokens=37, prompt_tokens=6935, total_tokens=6972, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=4096))"
Problem1,v12/Problem1.c,Yes,"The condition in `calculate_outputm9` is changed from `a166 == 32 &&` to `a166 == 32 ||` in the mutated version, which affects the logic","CompletionUsage(completion_tokens=41, prompt_tokens=6935, total_tokens=6976, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=4352))"
Problem1,v15/Problem1.c,Yes,"The condition in `calculate_outputm17` is changed from `a166 == 35` to `a166 != 35` in the mutated version, which alters the logic","CompletionUsage(completion_tokens=39, prompt_tokens=6935, total_tokens=6974, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=4736))"
Problem1,v2/Problem1.c,Yes,"The condition in `calculate_outputm1` was changed from `&&` to `||` in the mutated version, which alters the logic and behavior of the function","CompletionUsage(completion_tokens=36, prompt_tokens=6935, total_tokens=6971, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3712))"
Problem1,v3/Problem1.c,Yes,"The condition in `calculate_outputm1` for the second `if` statement is changed from `&&` to `||`, which alters the logic and can lead to different outputs","CompletionUsage(completion_tokens=39, prompt_tokens=6935, total_tokens=6974, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3712))"
Problem1,v16/Problem1.c,Yes,"The mutated code has a logical error in `calculate_outputm18` where `if((a166 == 36 || (( cf==1 && (input == 1)) && a62 == 33)))` uses `||` instead of `&&`, causing different behavior","CompletionUsage(completion_tokens=58, prompt_tokens=6935, total_tokens=6993, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=5632))"
Problem1,v10/Problem1.c,Yes,"The mutated code has a logical OR (`||`) instead of an AND (`&&`) in `calculate_outputm6` for the condition `if((a176 == 12 || ((a166 == 33 && cf==1 ) && (input == 4))))`, which changes the logic compared to the original code","CompletionUsage(completion_tokens=68, prompt_tokens=6935, total_tokens=7003, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
Problem1,v1/Problem1.c,Yes,"The mutated code has a functional difference due to the change in the output value from `21` to `221` in `calculate_outputm1` when `a166 == 33`, `input == 3`, and `a176 == 6`","CompletionUsage(completion_tokens=54, prompt_tokens=6935, total_tokens=6989, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3712))"
Problem1,v9/Problem1.c,Yes,"The mutated code has a typo in `calculate_outputm5` where `a176 == 110` instead of `a176 == 11`, causing a functional difference","CompletionUsage(completion_tokens=37, prompt_tokens=6935, total_tokens=6972, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=4224))"
Problem1,v23/Problem1.c,Yes,"The condition in the `calculate_output` function for `a166 == 36` is negated in the mutated version, which changes the logic of which functions are called","CompletionUsage(completion_tokens=37, prompt_tokens=6935, total_tokens=6972, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=5760))"
Problem1,v24/Problem1.c,Yes,"The condition `if(!(a166 == 34 && cf==1 ))` in the mutated version (in the `calculate_output` function) is the opposite of the original, which changes the logic of when certain functions are called","CompletionUsage(completion_tokens=49, prompt_tokens=6935, total_tokens=6984, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=6400))"
Problem1,v22/Problem1.c,Yes,"The condition in the `calculate_output` function is negated in the mutated version, which changes the logic of which functions are called  Specifically, the line `if(!(a166 == 33 && cf==1 ))` in the mutated version (compared to `if((a166 == 33 && cf==1 ))` in the original) alters the flow of execution","CompletionUsage(completion_tokens=79, prompt_tokens=6935, total_tokens=7014, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=6272))"
Problem1,v14/Problem1.c,Yes,"The condition in `calculate_outputm19` for the input `1` is different in the mutated version, which changes the behavior","CompletionUsage(completion_tokens=29, prompt_tokens=6936, total_tokens=6965, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=6016))"
Problem1,v13/Problem1.c,Yes,"The mutated code has a logical error in `calculate_outputm18` where the condition `!(cf==1 && (input == 4))` is used instead of `(cf==1 && (input == 4))`, which changes the behavior of the program","CompletionUsage(completion_tokens=56, prompt_tokens=6935, total_tokens=6991, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=5888))"
Problem1,v5/Problem1.c,Yes,The mutated code has a logical negation in `calculate_outputm2` for the condition `!(a166 == 33 && cf==1)` which changes the behavior compared to the original code,"CompletionUsage(completion_tokens=42, prompt_tokens=6935, total_tokens=6977, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3840))"
Problem1,v11/Problem1.c,Yes,"The mutated code has a condition `cf==14` instead of `cf==1` in `calculate_outputm18` function, which affects the behavior when `a166 == 36`, `a62 == 33`, and `input == 4`","CompletionUsage(completion_tokens=55, prompt_tokens=6935, total_tokens=6990, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=5888))"
Problem1,v18/Problem1.c,Yes,"In the mutated version, the condition in `calculate_outputm18` is changed from `if((a166 == 36 && (( cf==1 && (input == 1)) && a62 == 33)))` to `if(!(a166 == 36 && (( cf==1 && (input == 1)) && a62 == 33)))`, which alters the logic and output for that specific case","CompletionUsage(completion_tokens=88, prompt_tokens=6935, total_tokens=7023, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=5760))"
Problem1,v20/Problem1.c,Yes,The mutated code has a logical error in `calculate_outputm18` where `if((!a166 == 36 && (( cf==1 && (input == 1)) && a62 == 33)))` should be `if((a166 == 36 && (( cf==1 && (input == 1)) && a62 == 33)))`,"CompletionUsage(completion_tokens=76, prompt_tokens=6936, total_tokens=7012, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=5760))"
Problem1,v21/Problem1.c,Yes,The mutated code has a logical negation in `calculate_outputm20` that changes the behavior of the condition: `if(!(((input == 3) && (a166 == 36 && cf==1 )) && a62 == 35))` on line 20 of the mutated code,"CompletionUsage(completion_tokens=63, prompt_tokens=6936, total_tokens=6999, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=6144))"
Problem1,v19/Problem1.c,Yes,"The mutated code has a typo in `calculate_outputm19` where `a166 == 360` instead of `a166 == 36`, which affects the condition check","CompletionUsage(completion_tokens=38, prompt_tokens=6935, total_tokens=6973, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=6016))"
Problem1,v17/Problem1.c,Yes,"The condition in `calculate_outputm20` was changed from `if((((input == 3) && (a166 == 36 && cf==1 )) && a62 == 35))` to `if((!((input == 3) && (a166 == 36 && cf==1 )) && a62 == 35))` in the mutated version, altering the logic","CompletionUsage(completion_tokens=82, prompt_tokens=6937, total_tokens=7019, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=6144))"
Problem1,v4/Problem1.c,Yes,"The mutated code has a functional difference in `calculate_outputm2` where `printf(""%d \n"", 213);` is used instead of `printf(""%d\n"", 21);`","CompletionUsage(completion_tokens=42, prompt_tokens=6936, total_tokens=6978, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3840))"
